exp,exp_no,phyto,source,bottle,tp,datetime,date,time,plot_date,plot_datetime,cells,grn,yel,red,fsc,ssc
TP22-13,1,italic('T. Pseudonana'),Culture,A,1,2022-05-09T08:00:00Z,2022-05-09,08:00:00,2022-11-27,2022-11-27T08:00:00Z,457740,0.7385583964144662,1.503551849539477,1.4844487184637158,1.8526094081360136,1.2484444620072657
TP22-13,1,italic('T. Pseudonana'),Culture,A,2,2022-05-09T09:00:00Z,2022-05-09,09:00:00,2022-11-27,2022-11-27T09:00:00Z,465066,0.7284396200212916,1.489638066157425,1.4769946376310747,1.8384002831124238,1.2453515426248523
TP22-13,1,italic('T. Pseudonana'),Culture,A,3,2022-05-09T11:00:00Z,2022-05-09,11:00:00,2022-11-27,2022-11-27T11:00:00Z,441130,0.8283539787817333,1.5235883899211629,1.5417091653067212,1.91843740503448,1.288115908583614
TP22-13,1,italic('T. Pseudonana'),Culture,A,4,2022-05-09T13:00:00Z,2022-05-09,13:00:00,2022-11-27,2022-11-27T13:00:00Z,409849,1.2412024672667774,1.7540043654168396,1.619181792458606,2.104102694558047,1.3444274283274207
TP22-13,1,italic('T. Pseudonana'),Culture,A,5,2022-05-09T15:00:00Z,2022-05-09,15:00:00,2022-11-27,2022-11-27T15:00:00Z,437665,1.1733618245982163,1.7038684441928669,1.6387451335554104,2.1318624266572996,1.419305607587946
TP22-13,1,italic('T. Pseudonana'),Culture,A,6,2022-05-09T17:00:00Z,2022-05-09,17:00:00,2022-11-27,2022-11-27T17:00:00Z,542243,1.1222865148671028,1.6726935416821531,1.6283495760324176,2.087371555803499,1.4560044068792894
TP22-13,1,italic('T. Pseudonana'),Culture,A,7,2022-05-09T19:00:00Z,2022-05-09,19:00:00,2022-11-27,2022-11-27T19:00:00Z,544330,1.0675899488143874,1.6409484733176622,1.6832408954031797,2.0610679502371982,1.4732402705748862
TP22-13,1,italic('T. Pseudonana'),Culture,A,8,2022-05-09T21:00:00Z,2022-05-09,21:00:00,2022-11-27,2022-11-27T21:00:00Z,549538,0.9553451539518473,1.5866810289717448,1.6866947831838126,2.0955044311039233,1.4214073851735023
TP22-13,1,italic('T. Pseudonana'),Culture,A,9,2022-05-09T23:00:00Z,2022-05-09,23:00:00,2022-11-27,2022-11-27T23:00:00Z,525232,0.8950146110899169,1.552518815923262,1.6415348493664477,2.14281788551969,1.374650493271224
TP22-13,1,italic('T. Pseudonana'),Culture,A,10,2022-05-10T01:00:00Z,2022-05-10,01:00:00,2022-11-28,2022-11-28T01:00:00Z,507732,0.8868379915021479,1.5399635592572534,1.6111090370867291,2.130422758102439,1.3341038134982623
TP22-13,1,italic('T. Pseudonana'),Culture,A,11,2022-05-10T03:00:00Z,2022-05-10,03:00:00,2022-11-28,2022-11-28T03:00:00Z,501092,0.8670490324873379,1.5392990450885844,1.5854294940991256,2.0685088281275266,1.3212958994282247
TP22-13,1,italic('T. Pseudonana'),Culture,A,12,2022-05-10T05:00:00Z,2022-05-10,05:00:00,2022-11-28,2022-11-28T05:00:00Z,507118,0.83635441717887,1.5304237676910146,1.5558635360732158,1.9801756379202986,1.3055676661290139
TP22-13,1,italic('T. Pseudonana'),Culture,A,13,2022-05-10T08:00:00Z,2022-05-10,08:00:00,2022-11-28,2022-11-28T08:00:00Z,477156,0.8050406456153621,1.5243539634684022,1.5435859800124259,1.9020834982067754,1.2977652661515915
TP22-14,2,italic('T. Pseudonana'),Culture,A,1,2022-05-18T09:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,513080,0.7244045056274278,1.4789266300315482,1.4644097515255523,1.8364300795819297,1.2665363675677357
TP22-14,2,italic('T. Pseudonana'),Culture,B,1,2022-05-18T09:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,500876,0.7242213997359502,1.4806866522343765,1.4791986501627195,1.8332234358593054,1.261286390509018
TP22-14,2,italic('T. Pseudonana'),Culture,C,1,2022-05-18T09:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,508248,0.6973246117336318,1.4711038858180774,1.4672657429144975,1.8211182033846536,1.2423977294135633
TP22-14,2,italic('T. Pseudonana'),Culture,A,2,2022-05-18T11:00:00Z,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,525571,0.8081903725845478,1.504750145446541,1.5274836852153366,1.9033489558927421,1.2769056694916574
TP22-14,2,italic('T. Pseudonana'),Culture,B,2,2022-05-18T11:00:00Z,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,504972,0.803173018350424,1.5078324725612537,1.548960530311935,1.8986149173092255,1.2807220586982404
TP22-14,2,italic('T. Pseudonana'),Culture,C,2,2022-05-18T11:00:00Z,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,504689,0.7960626460286275,1.505971516079948,1.5473673836289794,1.8937597751960764,1.2676504572585596
TP22-14,2,italic('T. Pseudonana'),Culture,A,3,2022-05-18T13:00:00Z,2022-05-18,13:00:00,2022-11-27,2022-11-27T13:00:00Z,500762,0.9814815490026441,1.592333232385445,1.599046039831864,2.084363413081502,1.333908371836558
TP22-14,2,italic('T. Pseudonana'),Culture,B,3,2022-05-18T13:00:00Z,2022-05-18,13:00:00,2022-11-27,2022-11-27T13:00:00Z,502796,0.9939605558757636,1.5879415742748255,1.6315798116502438,2.086050808197588,1.343231717482047
TP22-14,2,italic('T. Pseudonana'),Culture,C,3,2022-05-18T13:00:00Z,2022-05-18,13:00:00,2022-11-27,2022-11-27T13:00:00Z,500706,0.9898534496792777,1.5950294983180564,1.6274075732063793,2.0771537400139106,1.3364246477698871
TP22-14,2,italic('T. Pseudonana'),Culture,A,4,2022-05-18T15:00:00Z,2022-05-18,15:00:00,2022-11-27,2022-11-27T15:00:00Z,495960,1.0470601848761492,1.6257926957859774,1.6010914085878558,2.10809814025567,1.4182118196545557
TP22-14,2,italic('T. Pseudonana'),Culture,B,4,2022-05-18T15:00:00Z,2022-05-18,15:00:00,2022-11-27,2022-11-27T15:00:00Z,477938,1.0494917486848645,1.6210411460418985,1.629600913454828,2.110082226080304,1.4186628871235567
TP22-14,2,italic('T. Pseudonana'),Culture,C,4,2022-05-18T15:00:00Z,2022-05-18,15:00:00,2022-11-27,2022-11-27T15:00:00Z,500396,1.037387132961951,1.613540872638164,1.6186623918929945,2.0969750170525403,1.4022894424580175
TP22-14,2,italic('T. Pseudonana'),Culture,A,5,2022-05-18T17:00:00Z,2022-05-18,17:00:00,2022-11-27,2022-11-27T17:00:00Z,704272,1.0030073210119643,1.6001158772558712,1.5988527142354143,2.0779739500242487,1.446008674293212
TP22-14,2,italic('T. Pseudonana'),Culture,B,5,2022-05-18T17:00:00Z,2022-05-18,17:00:00,2022-11-27,2022-11-27T17:00:00Z,705958,0.9987772351469932,1.595289054565813,1.6216210967890134,2.074427250945481,1.4376426730749858
TP22-14,2,italic('T. Pseudonana'),Culture,C,5,2022-05-18T17:00:00Z,2022-05-18,17:00:00,2022-11-27,2022-11-27T17:00:00Z,728450,0.9920784635803348,1.5940061055130794,1.6125213858063854,2.0738800145221266,1.4308241238724082
TP22-14,2,italic('T. Pseudonana'),Culture,A,6,2022-05-18T19:00:00Z,2022-05-18,19:00:00,2022-11-27,2022-11-27T19:00:00Z,537803,0.9592708075528904,1.5822313834181845,1.6342041482716638,2.0667805351943325,1.4789524172196553
TP22-14,2,italic('T. Pseudonana'),Culture,B,6,2022-05-18T19:00:00Z,2022-05-18,19:00:00,2022-11-27,2022-11-27T19:00:00Z,578096,0.9355810762157817,1.5609315960016847,1.637044674991948,2.0661669356505383,1.455768439768634
TP22-14,2,italic('T. Pseudonana'),Culture,C,6,2022-05-18T19:00:00Z,2022-05-18,19:00:00,2022-11-27,2022-11-27T19:00:00Z,656043,0.9170387102081241,1.5708690967390604,1.630423121335982,2.0733570053335666,1.4416941357767714
TP22-14,2,italic('T. Pseudonana'),Culture,A,7,2022-05-18T21:00:00Z,2022-05-18,21:00:00,2022-11-27,2022-11-27T21:00:00Z,618983,0.8824974506346379,1.5571198211192463,1.6725853829827886,2.1138800854119717,1.468425651615708
TP22-14,2,italic('T. Pseudonana'),Culture,B,7,2022-05-18T21:00:00Z,2022-05-18,21:00:00,2022-11-27,2022-11-27T21:00:00Z,558066,0.8484539072068124,1.5419853314198115,1.653048197186496,2.0983759749846795,1.4476623932714703
TP22-14,2,italic('T. Pseudonana'),Culture,C,7,2022-05-18T21:00:00Z,2022-05-18,21:00:00,2022-11-27,2022-11-27T21:00:00Z,629450,0.8226356459704824,1.5233709181773132,1.6294261375666492,2.0950836218980102,1.4102285950636313
TP22-14,2,italic('T. Pseudonana'),Culture,A,8,2022-05-18T23:00:00Z,2022-05-18,23:00:00,2022-11-27,2022-11-27T23:00:00Z,622916,0.8051866581650664,1.5010776107601622,1.5859887663300603,2.120829359126084,1.3656836292299224
TP22-14,2,italic('T. Pseudonana'),Culture,B,8,2022-05-18T23:00:00Z,2022-05-18,23:00:00,2022-11-27,2022-11-27T23:00:00Z,546612,0.7829414066622054,1.5124161970444674,1.5830494296248987,2.1147513374467746,1.3573913322896303
TP22-14,2,italic('T. Pseudonana'),Culture,C,8,2022-05-18T23:00:00Z,2022-05-18,23:00:00,2022-11-27,2022-11-27T23:00:00Z,475820,0.7781546447927816,1.4906779883216579,1.5640077555868657,2.1071115746373827,1.326790734184573
TP22-14,2,italic('T. Pseudonana'),Culture,A,9,2022-05-19T01:00:00Z,2022-05-19,01:00:00,2022-11-28,2022-11-28T01:00:00Z,526280,0.7893477041340459,1.5006555744315493,1.5618784250818836,2.110627880558851,1.3359142931590564
TP22-14,2,italic('T. Pseudonana'),Culture,B,9,2022-05-19T01:00:00Z,2022-05-19,01:00:00,2022-11-28,2022-11-28T01:00:00Z,618220,0.7665065071220569,1.478605667588078,1.5573544533287715,2.0960003089652437,1.3313194731788063
TP22-14,2,italic('T. Pseudonana'),Culture,C,9,2022-05-19T01:00:00Z,2022-05-19,01:00:00,2022-11-28,2022-11-28T01:00:00Z,585756,0.7588033237519483,1.4646025998811987,1.5392104587010076,2.078060766719861,1.299847602580468
TP22-14,2,italic('T. Pseudonana'),Culture,A,10,2022-05-19T03:00:00Z,2022-05-19,03:00:00,2022-11-28,2022-11-28T03:00:00Z,500650,0.7610262045597349,1.4911472186400956,1.5411122175669008,2.0398098419966098,1.312524281086006
TP22-14,2,italic('T. Pseudonana'),Culture,B,10,2022-05-19T03:00:00Z,2022-05-19,03:00:00,2022-11-28,2022-11-28T03:00:00Z,589896,0.7329531247038451,1.4733180975471343,1.5305105099477614,2.0158826949408852,1.296209406029468
TP22-14,2,italic('T. Pseudonana'),Culture,C,10,2022-05-19T03:00:00Z,2022-05-19,03:00:00,2022-11-28,2022-11-28T03:00:00Z,652814,0.7265742865527463,1.4671002437829392,1.5220005678448763,2.005775556747693,1.2779318859744748
TP22-14,2,italic('T. Pseudonana'),Culture,A,11,2022-05-19T05:00:00Z,2022-05-19,05:00:00,2022-11-28,2022-11-28T05:00:00Z,481917,0.7139653355093665,1.4744863233038346,1.515818765769004,1.9481853001624732,1.2873203972821443
TP22-14,2,italic('T. Pseudonana'),Culture,B,11,2022-05-19T05:00:00Z,2022-05-19,05:00:00,2022-11-28,2022-11-28T05:00:00Z,593286,0.6994031124626109,1.4639982827803415,1.5153749715938343,1.934876866058497,1.2771214078759576
TP22-14,2,italic('T. Pseudonana'),Culture,C,11,2022-05-19T05:00:00Z,2022-05-19,05:00:00,2022-11-28,2022-11-28T05:00:00Z,757623,0.7117302261165206,1.4690678122246543,1.5227072571505365,1.9393511577630362,1.286259548950531
TP22-14,2,italic('T. Pseudonana'),Culture,A,12,2022-05-19T07:00:00Z,2022-05-19,07:00:00,2022-11-28,2022-11-28T07:00:00Z,633253,0.7056386238709208,1.4733379572479754,1.5252111369431607,1.89354413767542,1.2842201734438603
TP22-14,2,italic('T. Pseudonana'),Culture,B,12,2022-05-19T07:00:00Z,2022-05-19,07:00:00,2022-11-28,2022-11-28T07:00:00Z,609160,0.6828407630070559,1.4521342675848565,1.518170746335491,1.881652894017098,1.2705375009014215
TP22-14,2,italic('T. Pseudonana'),Culture,C,12,2022-05-19T07:00:00Z,2022-05-19,07:00:00,2022-11-28,2022-11-28T07:00:00Z,706742,0.68748956508301,1.4552466084778781,1.5144925299419962,1.8758903829442892,1.2593851102065452
TP22-14,2,italic('T. Pseudonana'),Culture,A,13,2022-05-19T09:00:00Z,2022-05-19,09:00:00,2022-11-28,2022-11-28T09:00:00Z,476356,0.685711056625403,1.4595681998721806,1.4977606745181404,1.8508704606194974,1.2688339253888792
TP22-14,2,italic('T. Pseudonana'),Culture,B,13,2022-05-19T09:00:00Z,2022-05-19,09:00:00,2022-11-28,2022-11-28T09:00:00Z,451554,0.6761029838577536,1.4590544589344376,1.494468452297822,1.8498790960857008,1.2660143364436858
TP22-14,2,italic('T. Pseudonana'),Culture,C,13,2022-05-19T09:00:00Z,2022-05-19,09:00:00,2022-11-28,2022-11-28T09:00:00Z,516186,0.6675026181432197,1.4597246722892285,1.4851491194559405,1.8357506422745853,1.254065319320481
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,A,1,2022-08-16T09:00:00Z,2022-08-16,09:00:00,2022-11-27,2022-11-27T09:00:00Z,7186035,1.4738123181457778,1.2832211954390949,0.4220106101568211,1.6640288032146753,2.1959808614713934
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,B,1,2022-08-16T09:00:00Z,2022-08-16,09:00:00,2022-11-27,2022-11-27T09:00:00Z,7735780,1.4816353941085842,1.2901580023786348,0.4248048669942743,1.629170961468636,2.1931021834024977
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,A,2,2022-08-16T11:00:00Z,2022-08-16,11:00:00,2022-11-27,2022-11-27T11:00:00Z,7208005,1.5271696440272562,1.3319840331610848,0.4325428161095817,1.6506946361963235,2.1800555556813417
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,B,2,2022-08-16T11:00:00Z,2022-08-16,11:00:00,2022-11-27,2022-11-27T11:00:00Z,7593135,1.5351978171049279,1.3295180559847894,0.4284142317059803,1.6138013083882115,2.161371666417073
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,A,3,2022-08-16T13:00:00Z,2022-08-16,13:00:00,2022-11-27,2022-11-27T13:00:00Z,7008980,1.5527416053242984,1.2828717011053454,0.4199765166322228,1.6984925361780019,2.1806468444606772
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,B,3,2022-08-16T13:00:00Z,2022-08-16,13:00:00,2022-11-27,2022-11-27T13:00:00Z,6956730,1.5698872149144782,1.34493091779153,0.4307638251392659,1.6711416058686774,2.1740864737993153
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,A,4,2022-08-16T15:00:00Z,2022-08-16,15:00:00,2022-11-27,2022-11-27T15:00:00Z,7175250,1.5364181440363602,1.3739173499508484,0.46567055411848696,1.7625648009196577,2.1441115276381995
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,B,4,2022-08-16T15:00:00Z,2022-08-16,15:00:00,2022-11-27,2022-11-27T15:00:00Z,8190195,1.5566087497419956,1.3408084857995353,0.4525571070537603,1.774377041670168,2.1427456815626265
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,A,5,2022-08-16T17:00:00Z,2022-08-16,17:00:00,2022-11-27,2022-11-27T17:00:00Z,7083940,1.5304055810337212,1.3085503089313968,0.4278867069930681,1.9046445898394317,2.205800120501615
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,B,5,2022-08-16T17:00:00Z,2022-08-16,17:00:00,2022-11-27,2022-11-27T17:00:00Z,7646230,1.5839389510820046,1.374560124020112,0.44340228098719325,1.8761226639366102,2.192876226253247
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,A,6,2022-08-16T19:00:00Z,2022-08-16,19:00:00,2022-11-27,2022-11-27T19:00:00Z,9044125,1.5163017775176528,1.3039851166029797,0.4467121249444476,1.9305354415006737,2.2226167826945957
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,B,6,2022-08-16T19:00:00Z,2022-08-16,19:00:00,2022-11-27,2022-11-27T19:00:00Z,8962425,1.5639227188536555,1.3728002646417012,0.4596041691825809,1.8930059077238723,2.1965863784292856
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,A,7,2022-08-16T21:00:00Z,2022-08-16,21:00:00,2022-11-27,2022-11-27T21:00:00Z,9919140,1.5047924500730963,1.2925153786491506,0.4445547683648924,1.9128154896628053,2.2271503099108925
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,B,7,2022-08-16T21:00:00Z,2022-08-16,21:00:00,2022-11-27,2022-11-27T21:00:00Z,11035840,1.5617062834139532,1.377481525380888,0.4700654214216268,1.8951883169144972,2.218308525408145
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,A,8,2022-08-16T23:00:00Z,2022-08-16,23:00:00,2022-11-27,2022-11-27T23:00:00Z,10893700,1.4956957020706474,1.2951743960717277,0.45748313035362553,1.8536923535155925,2.2173225280524433
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,B,8,2022-08-16T23:00:00Z,2022-08-16,23:00:00,2022-11-27,2022-11-27T23:00:00Z,10201130,1.5379402886046485,1.3149727893009115,0.46043875489615227,1.8601033331529297,2.229804031832675
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,A,9,2022-08-17T03:00:00Z,2022-08-17,03:00:00,2022-11-28,2022-11-28T03:00:00Z,9843360,1.5105756436936217,1.3244884595209891,0.450407650776575,1.7825634951792853,2.251335498034983
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,B,9,2022-08-17T03:00:00Z,2022-08-17,03:00:00,2022-11-28,2022-11-28T03:00:00Z,9913050,1.5519904094665025,1.3585722934827222,0.46170451919155464,1.7724584246452055,2.2315974944685846
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,A,10,2022-08-17T07:00:00Z,2022-08-17,07:00:00,2022-11-28,2022-11-28T07:00:00Z,9209890,1.5066060913131807,1.329237875862737,0.45822643073374036,1.7018538065204563,2.2338424043047196
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,B,10,2022-08-17T07:00:00Z,2022-08-17,07:00:00,2022-11-28,2022-11-28T07:00:00Z,10858355,1.5240529245088705,1.342144928672096,0.45413944924690725,1.6632008535400897,2.207169417210674
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,A,11,2022-08-17T09:00:00Z,2022-08-17,09:00:00,2022-11-28,2022-11-28T09:00:00Z,9739865,1.5187903253298738,1.3422353256837993,0.4575998054252358,1.6564361136764183,2.227232429588603
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,B,11,2022-08-17T09:00:00Z,2022-08-17,09:00:00,2022-11-28,2022-11-28T09:00:00Z,9524595,1.5249626286799447,1.3355746916731874,0.45047106542628357,1.6469005020038245,2.170555922844841
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,A,12,2022-08-17T11:00:00Z,2022-08-17,11:00:00,2022-11-28,2022-11-28T11:00:00Z,10873665,1.5551378345867541,1.3566144326003802,0.46288066660993765,1.6674998608440768,2.210584622971485
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,B,12,2022-08-17T11:00:00Z,2022-08-17,11:00:00,2022-11-28,2022-11-28T11:00:00Z,10856370,1.55515572211182,1.3560885091585562,0.4620349666908229,1.6315489047337235,2.1919891669358993
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,A,13,2022-08-17T13:00:00Z,2022-08-17,13:00:00,2022-11-28,2022-11-28T13:00:00Z,10104520,1.5405290601602086,1.3394636887380331,0.4542656278595235,1.7295066231635778,2.196977624777846
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,B,13,2022-08-17T13:00:00Z,2022-08-17,13:00:00,2022-11-28,2022-11-28T13:00:00Z,11339820,1.5536865592701417,1.3384347854400684,0.4567949413532366,1.700628266113597,2.179720264937275
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,A,14,2022-08-17T15:00:00Z,2022-08-17,15:00:00,2022-11-28,2022-11-28T15:00:00Z,10406820,1.5520677209165887,1.3534667825996554,0.46564159793867943,1.8262951008345896,2.2111120302899616
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,B,14,2022-08-17T15:00:00Z,2022-08-17,15:00:00,2022-11-28,2022-11-28T15:00:00Z,10066105,1.5757956276696796,1.3612309700038514,0.46581619902919125,1.8170400791186565,2.21812156592432
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,A,15,2022-08-17T17:00:00Z,2022-08-17,17:00:00,2022-11-28,2022-11-28T17:00:00Z,11468725,1.5862238390762018,1.402461066755934,0.4818995725206844,1.8945702947379268,2.198777116641463
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,B,15,2022-08-17T17:00:00Z,2022-08-17,17:00:00,2022-11-28,2022-11-28T17:00:00Z,11477820,1.5682432913605615,1.3488493198947196,0.46735776966554704,1.877173766796715,2.234103589889505
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,A,16,2022-08-17T22:00:00Z,2022-08-17,22:00:00,2022-11-28,2022-11-28T22:00:00Z,14573190,1.5647594007964283,1.3701813869773987,0.49038789448227904,1.8729683598625724,2.252458707562378
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,B,16,2022-08-17T22:00:00Z,2022-08-17,22:00:00,2022-11-28,2022-11-28T22:00:00Z,13688750,1.5987968124353276,1.4296737473958405,0.5055984855514661,1.8779452645098687,2.2377168295040786
