exp,tp,source,bottle,dilution_ml
TP22-13,1,Culture,A,0
TP22-13,2,Culture,A,19
TP22-13,3,Culture,A,0
TP22-13,4,Culture,A,0
TP22-13,5,Culture,A,0
TP22-13,6,Culture,A,94
TP22-13,7,Culture,A,82
TP22-13,8,Culture,A,94
TP22-13,9,Culture,A,77
TP22-13,10,Culture,A,56
TP22-13,11,Culture,A,41
TP22-13,12,Culture,A,35
TP22-13,13,Culture,A,0
TP22-14,1,Culture,A,0
TP22-14,2,Culture,A,29
TP22-14,3,Culture,A,9
TP22-14,4,Culture,A,2
TP22-14,5,Culture,A,256
TP22-14,6,Culture,A,47
TP22-14,7,Culture,A,144
TP22-14,8,Culture,A,176
TP22-14,9,Culture,A,182
TP22-14,10,Culture,A,250
TP22-14,11,Culture,A,0
TP22-14,12,Culture,A,148
TP22-14,13,Culture,A,0
TP22-14,1,Culture,B,0
TP22-14,2,Culture,B,13
TP22-14,3,Culture,B,30
TP22-14,4,Culture,B,0
TP22-14,5,Culture,B,265
TP22-14,6,Culture,B,128
TP22-14,7,Culture,B,102
TP22-14,8,Culture,B,92
TP22-14,9,Culture,B,141
TP22-14,10,Culture,B,150
TP22-14,11,Culture,B,161
TP22-14,12,Culture,B,194
TP22-14,13,Culture,B,0
TP22-14,1,Culture,C,0
TP22-14,2,Culture,C,3
TP22-14,3,Culture,C,18
TP22-14,4,Culture,C,13
TP22-14,5,Culture,C,294
TP22-14,6,Culture,C,249
TP22-14,7,Culture,C,222
TP22-14,8,Culture,C,0
TP22-14,9,Culture,C,44
TP22-14,10,Culture,C,9
TP22-14,11,Culture,C,217
TP22-14,12,Culture,C,220
TP22-14,13,Culture,C,17